election_id,cancellation_reason
local.lichfield.little-aston-stonnall.2019-05-02,EQUAL_CANDIDATES
local.fenland.staithe.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.aldersgate.2017-03-23,EQUAL_CANDIDATES
local.east-staffordshire.bagots.2019-05-02,EQUAL_CANDIDATES
local.copeland.gosforth-seascale.2019-05-02,EQUAL_CANDIDATES
parl.manchester-gorton.2017-05-04,UNDER_CONTESTED
local.north-kesteven.navenby-brant-broughton.2023-05-04,EQUAL_CANDIDATES
local.city-of-london.cornhill.2022-03-24,EQUAL_CANDIDATES
local.gwynedd.cwm-y-glo.2022-05-05,EQUAL_CANDIDATES
local.brent.willesden-green.2018-05-03,UNDER_CONTESTED
local.huntingdonshire.sawtry.2022-05-05,EQUAL_CANDIDATES
local.west-suffolk.stanton.2019-05-02,EQUAL_CANDIDATES
local.fenland.bassenhally.2019-05-02,EQUAL_CANDIDATES
local.wrexham.stansty.2022-05-05,EQUAL_CANDIDATES
local.melton.gaddesby.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.tenby-south.2017-05-04,EQUAL_CANDIDATES
local.allerdale.allhallows-waverton.2019-05-02,EQUAL_CANDIDATES
local.west-lindsey.scampton.2019-05-02,EQUAL_CANDIDATES
local.caerphilly.aber-valley.by.2021-06-17,EQUAL_CANDIDATES
local.gwynedd.morfa-nefyn.by.2019-05-23,EQUAL_CANDIDATES
local.isles-of-scilly.bryher.2021-06-24,EQUAL_CANDIDATES
local.ashford.isle-of-oxney.2019-05-02,EQUAL_CANDIDATES
local.ceredigion.llandyfriog.2022-05-05,EQUAL_CANDIDATES
local.pembrokeshire.fishguard-north-west.2022-05-05,EQUAL_CANDIDATES
local.flintshire.holywell-west.2017-05-04,EQUAL_CANDIDATES
local.maldon.mayland.2019-05-02,EQUAL_CANDIDATES
local.ceredigion.llanwenog.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.llandderfel.2017-05-04,EQUAL_CANDIDATES
local.powys.talybont-on-usk.2017-05-04,EQUAL_CANDIDATES
local.south-staffordshire.perton-dippons.2019-05-02,EQUAL_CANDIDATES
local.ceredigion.llandyfriog.2017-06-08,EQUAL_CANDIDATES
local.preston.st-georges.2016-05-05,EQUAL_CANDIDATES
local.isles-of-scilly.st-martins.2017-05-04,EQUAL_CANDIDATES
local.stafford.swynnerton-oulton.2019-05-02,EQUAL_CANDIDATES
local.neath-port-talbot.gwynfi-and-croeserw.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.penisar-waun.2022-05-05,EQUAL_CANDIDATES
local.pembrokeshire.letterston.2022-05-05,EQUAL_CANDIDATES
local.eden.greystoke.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.tower.2017-03-23,EQUAL_CANDIDATES
local.city-of-london.coleman-street.by.2019-12-19,EQUAL_CANDIDATES
local.rutland.greetham.2019-05-02,EQUAL_CANDIDATES
